Run #,diamond,normal ,pedestal ,rate ,voltage,duration,comments
1,s129,,,,,,
2,s129,yes,,110,-500,,
3,s129,yes,,3100,-500,,
4,s129,yes,,1300,-500,,
5,s129,yes,,8,-500,,
6,s129,yes,,8,500,,
7,s129,yes,,110,500,,
8,s129,yes,,1300,500,,
9,s129,yes,,3100,500,,
10,2A87-H,yes,,8,-500,,
11,2A87-H,yes,,8,-500,,
12,2A87-H,yes,,110,-500,,
13,2A87-H,yes,,1300,-500,,
14,2A87-H,yes,,3100,-500,,
15,2A87-H,yes,,1300,-500,,
16,2A87-H,yes,,110,-500,,
17,2A87-H,yes,,8,-500,,
18,2A87-H,yes,,1300,-500,5,
19,2A87-H,yes,,1300,-500,300,
20,2A87-H,,yes,8,-500,,
21,2A87-H,,yes,110,-500,,
22,2A87-H,,yes,1300,-500,,
23,2A87-H,,yes,3100,-500,,
24,2A87-H,,yes,1300,-500,,
25,2A87-H,,yes,110,-500,,
26,2A87-H,,yes,8,-800,,pedestal is bad
27,2A87-H,yes,,8,-700,,
28,2A87-H,,yes,8,-700,,
29,2A87-H,,yes,1300,-700,,
30,2A87-H,yes,,1300,-700,,
31,s125,yes,,8,-500,,adjust timing after this run
32,s125,yes,,8,-500,,
33,s125,yes,,8,-1000,,
34,s125,,yes,8,-1000,,
35,s125,,yes,8,-500,,
36,s125,yes,,8,-500,,
37,s125,yes,,110,-500,,
38,s125,,yes,110,-500,,
39,s125,yes,,1300,-500,,
40,s125,,yes,1300,-500,,
41,s125,yes,,3100,-500,,
42,s125,,yes,3100,-500,,
43,s125,yes,,1300,-500,,
44,s125,,yes,1300,-500,,
45,s125,yes,,110,-500,,
46,s125,,yes,110,-500,,
47,s125,yes,,8,-500,,
48,s125,,yes,8,-500,,
49,s125,yes,,1300,-500,250,
50,s125,yes,,8,-1000,,
51,s125,,yes,8,-1000,,
52,s125,,,1300,-1000,,no mask file
53,s125,yes,,1300,-1000,,
54,s125,,yes,1300,-1000,,
55,s30,yes,,8,-500,,
56,s30,,yes,8,-500,,
57,s30,yes,,110,-500,,
58,s30,,yes,110,-500,,
59,s30,yes,,1300,-500,,
60,s30,,yes,1300,-500,,
61,s30,yes,,3100,-500,,
62,s30,,yes,3100,-500,,
63,s30,yes,,1300,-500,,
64,s30,,yes,1300,-500,,
65,s30,yes,,110,-500,,
66,s30,,yes,110,-500,,
67,s30,yes,,8,-500,,
68,s30,,yes,8,-500,,
69,s30,,yes,1300,-500,,
70,s30,yes,,1300,-500,240,
71,s30,yes,,8,-1000,,
72,s30,,yes,8,-1000,,
73,s30,yes,,1300,-1000,,
74,s30,,yes,1300,-1000,,
75,2A87-H,yes,,8,500,,
76,2A87-H,,yes,8,500,,
77,2A87-H,yes,,110,500,,
78,2A87-H,,yes,110,500,,
79,2A87-H,yes,,1300,500,,
80,2A87-H,,yes,1300,500,,
81,2A87-H,yes,,3100,500,,
82,2A87-H,,yes,3100,500,,
83,2A87-H,yes,,1300,500,,
84,2A87-H,,yes,1300,500,,
85,2A87-H,yes,,110,500,,
86,2A87-H,,yes,110,500,,
87,2A87-H,yes,,8,500,,
88,2A87-H,,yes,8,500,,
89,2A87-H,yes,,1300,500,240,
90,2A87-H,,yes,1300,500,,
91,s125,yes,,8,500,,
92,s125,,yes,8,500,,
93,s125,yes,,110,500,,
94,s125,,yes,110,500,,
95,s125,yes,,1300,500,,
96,s125,,yes,1300,500,,
97,s125,yes,,3100,500,,
98,s125,,yes,3100,500,,
99,s125,yes,,1300,500,,
100,s125,,yes,1300,500,,
101,s125,yes,,110,500,,
102,s125,,yes,110,500,,
103,s125,yes,,8,500,,
104,s125,,yes,8,500,,
105,s125,,yes,1300,500,,
106,s125,yes,,1300,500,130,
107,s125,no data,,,,,
108,s125,yes,,8,1000,,
109,s125,,yes,8,1000,,
110,s125,yes,,8,1000,,
111,s125,,yes,8,1000,,
112,s125,yes,,1300,1000,,
113,s125,,yes,1300,1000,,
